ID,Bathrooms,Bedrooms,Erf Size,Garages,ID,Listing Date,Price,Type of Property,Location
158,2.0,3.0,44000 m²,4.0,1632,2019-09-05,1995000.0,House,"lat: 51.5073509,long: -0.1277583"
159,3.0,4.0,1398 m²,4.0,1633,2019-08-13,4450000.0,House,"lat: 51.5073509,long: -0.1277583"
160,1.0,2.0,46 m²,,1636,2019-09-16,455000.0,House,"lat: 51.5073509,long: -0.1277583"
161,1.0,2.0,78 m²,,1637,2019-09-21,795000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
162,2.0,3.0,155 m²,2.0,1639,2019-09-06,1320000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
163,2.0,3.0,184 m²,1.0,1640,2019-09-16,1650000.0,House,"lat: 51.5073509,long: -0.1277583"
164,2.0,3.0,,,1646,2019-10-24,750000.0,House,"lat: 51.5073509,long: -0.1277583"
165,2.0,2.0,135 m²,,1648,2019-10-07,1020000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
166,1.0,2.0,120 m²,2.0,1651,2019-09-11,1250000.0,House,"lat: 51.5073509,long: -0.1277583"
167,2.0,3.0,165 m²,2.0,1663,2019-07-31,1799000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
168,3.0,5.0,992 m²,,1667,2019-09-27,2400000.0,House,"lat: 51.5073509,long: -0.1277583"
169,2.0,4.0,1 400 m²,2.0,1674,2019-10-11,2500000.0,House,"lat: 51.5073509,long: -0.1277583"
170,6.0,16.0,18 000 m²,1.0,1679,2019-10-04,2950000.0,House,"lat: 51.5073509,long: -0.1277583"
171,2.0,3.0,,2.0,1680,2019-09-25,2295000.0,House,"lat: 51.5073509,long: -0.1277583"
172,,3.0,451 m²,,1689,2019-09-18,840000.0,House,"lat: 51.5073509,long: -0.1277583"
173,2.0,3.0,1 619 m²,2.0,1693,2019-10-21,2750000.0,House,"lat: 51.5073509,long: -0.1277583"
174,3.0,3.0,409 m²,2.0,1696,2019-09-21,2750000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
175,1.0,2.0,,,1700,2019-10-09,430000.0,House,"lat: 51.5073509,long: -0.1277583"
176,3.0,3.0,,2.0,1702,2019-08-19,2250000.0,House,"lat: 51.5073509,long: -0.1277583"
177,1.0,2.0,56 m²,,1710,2019-08-20,730000.0,House,"lat: 51.5073509,long: -0.1277583"
178,2.0,3.0,802 m²,2.0,1716,2019-08-17,1695000.0,House,"lat: 51.5073509,long: -0.1277583"
179,2.0,3.0,150 m²,,1720,2019-07-30,599000.0,House,"lat: 51.5073509,long: -0.1277583"
180,3.0,4.0,1 487 m²,2.0,1721,2019-09-13,2095000.0,House,"lat: 51.5073509,long: -0.1277583"
181,2.0,3.0,206 m²,1.0,1724,2019-08-14,1825000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
182,2.0,3.0,,2.0,1730,2019-08-14,1690000.0,House,"lat: 51.5073509,long: -0.1277583"
183,,,1 m²,,1734,2019-08-31,1250000.0,House,"lat: 51.5073509,long: -0.1277583"
184,3.0,3.0,154 m²,1.0,1737,2019-07-25,1075789.0,House,"lat: 51.5073509,long: -0.1277583"
185,2.0,3.0,93 m²,1.0,1738,2019-08-09,1060000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
186,1.0,3.0,989 m²,1.0,1741,2019-08-16,970000.0,House,"lat: 51.5073509,long: -0.1277583"
187,,4.0,800 m²,4.0,1743,2019-09-19,14999000.0,House,"lat: 51.5073509,long: -0.1277583"
188,1.0,2.0,96 m²,,1746,2019-08-06,630000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
189,2.0,4.0,1 487 m²,2.0,1753,2019-08-13,1850000.0,House,"lat: 51.5073509,long: -0.1277583"
